DRAW_ID;N1;N2;N3;N4;N5;RANK1;RANK2;RANK3;RANK4;RANK5;RANK6;RANK7;RANK8;RANK9;RANK10;RANK11;RANK12;NB_TICKETS
164;1;8;42;46;48;0;8;10;52;710;1399;2127;37501;36551;71559;231646;615173;32152738
165;1;11;22;33;50;1;8;50;91;1410;3622;2337;29548;37291;82386;152459;474392;20822530
166;5;10;15;28;45;1;14;15;129;1992;3798;4879;57577;76189;136986;284592;900870;35184195
167;15;35;38;44;48;0;3;4;43;630;1204;1503;21704;28154;55593;112543;427305;21680348
168;1;11;17;32;39;2;4;11;71;1117;2013;3802;57481;56715;101227;307356;859528;36059040
169;12;17;25;29;41;0;2;10;41;798;1680;1801;24443;34665;74281;123630;487330;21703895
170;13;30;43;44;46;1;5;9;100;1685;3194;4954;78565;81484;154753;457674;1269927;59551802
171;4;26;30;42;44;0;2;11;64;1343;2799;2789;38968;56539;125096;207872;826239;41969270
172;12;27;32;34;49;0;6;16;87;2071;3559;4370;66353;97002;178987;352357;1423559;62572939
173;19;32;35;37;44;0;2;7;49;601;1245;1882;29737;28566;59273;154000;425900;21785569
174;4;14;21;24;39;0;4;13;63;1358;3262;2459;33978;53228;124185;172726;708839;32416095
175;2;4;10;22;50;1;5;9;66;1034;2096;2982;37646;42456;79308;182830;539379;20447043
176;3;20;23;28;42;1;3;5;49;1108;2536;2379;34249;53157;122432;176172;773657;36271456
177;8;19;31;33;39;0;7;4;54;786;1504;2318;34120;36273;68046;183319;534039;22983561
178;1;11;29;36;42;0;3;8;48;1101;1966;2554;38407;50878;91201;211020;786749;33961668
179;3;12;13;17;30;0;1;11;81;1042;2117;2871;37965;43104;86871;176822;559922;21439517
180;15;16;28;36;37;0;3;9;33;854;1946;1842;27584;40424;91572;146684;623884;32053797
181;12;15;28;30;44;1;9;14;51;1238;2126;2029;29031;50212;86780;147848;655273;25838572
182;2;4;22;28;42;0;5;13;94;1465;2658;4102;58688;65881;124185;287792;876245;36839704
183;5;11;16;25;28;0;15;14;89;1404;2464;2972;37064;50628;90443;174623;628571;22892643
184;9;11;14;34;44;0;3;11;31;958;2850;2155;30795;41289;132760;161344;578742;34277572
185;6;25;31;40;45;0;3;2;31;634;1098;1627;23932;29771;52421;130774;461970;21710674
186;5;21;34;37;38;0;4;5;54;922;1995;2484;35980;43494;96708;202011;635852;32681581
187;9;16;26;36;39;2;10;6;77;867;1519;2404;30235;33262;60870;159812;443657;20838462
188;3;10;18;31;37;1;1;6;63;1223;2393;3217;46317;56616;108564;241702;813465;35383272
189;1;10;44;45;48;0;2;5;33;633;1122;1427;23034;28096;55414;124189;445156;22426903
190;4;26;27;30;39;0;4;5;42;972;2147;2260;32053;46501;102326;167736;691678;33744069
191;22;38;40;42;47;0;1;8;32;551;1221;1243;18775;24162;60761;105886;355128;21696568
192;4;22;29;37;41;1;5;8;79;1251;2276;3957;57143;56477;103499;301636;818473;36580162
193;2;20;22;26;47;0;3;10;41;705;1261;2198;34125;35136;63819;189500;532881;23393298
194;4;10;22;27;41;0;4;15;52;1292;2939;2114;30966;53005;125358;158630;724839;34179889
195;2;7;8;36;49;3;2;9;50;996;2257;2590;38095;46444;107533;199783;691259;35402908
196;17;24;26;27;49;0;5;11;60;1100;1964;4175;65596;57710;100353;344435;896679;36573991
197;14;18;20;23;32;0;5;9;43;1223;2610;2646;37690;55402;120289;197413;771723;35955377
198;3;5;22;40;42;1;11;20;61;1557;3085;3373;48628;71310;148376;254119;1054576;49297492
199;14;18;20;35;44;0;4;5;52;1034;1776;2883;44407;46777;82415;241746;701649;30026141
200;10;11;29;40;43;0;4;16;58;1188;2537;2466;36455;58460;123735;193321;871206;41302687
201;1;4;9;43;50;0;3;3;43;903;1930;2148;31910;41806;88479;173202;594997;27037310
